FID,Shape *,id,count,time,date,id_1,x,y
443,Point,2992,1,42108,2015-04-14,2992,448431,4625670
444,Point,2993,1,42108,2015-04-14,2993,448373,4623927
445,Point,2994,1,42109,2015-04-15,2994,449230,4629795
446,Point,2995,1,42109,2015-04-15,2995,448185,4624015
447,Point,2996,1,42109,2015-04-15,2996,451510,4627909
448,Point,2997,1,42110,2015-04-16,2997,447405,4627065
449,Point,2998,1,42110,2015-04-16,2998,453220,4622693
450,Point,2999,1,42110,2015-04-16,2999,448358,4623926
451,Point,3000,1,42110,2015-04-16,3000,447787,4623425
452,Point,3001,1,42110,2015-04-16,3001,450626,4624086
453,Point,3002,1,42110,2015-04-16,3002,447522,4623105
454,Point,3003,1,42110,2015-04-16,3003,449174,4622227
455,Point,3004,1,42111,2015-04-17,3004,449921,4627102
456,Point,3005,1,42111,2015-04-17,3005,448724,4623673
457,Point,3006,1,42111,2015-04-17,3006,447797,4629924
458,Point,3007,1,42111,2015-04-17,3007,450337,4627793
459,Point,3008,1,42111,2015-04-17,3008,450579,4625683
460,Point,3009,1,42111,2015-04-17,3009,450089,4630043
461,Point,3010,1,42111,2015-04-17,3010,452108,4622472
